name,email,contact_person,phone,tax_id,address,city,state,postal_code,country,website,status,segment,tier,onboarding_date,last_audit_date,industry,products_services,certifications,payment_terms,notes
SmartSite Equipment,rentals@smartsite.com,Daniel Wilson,+1-615-555-1234,62-1234567,"400 Equipment Drive",Nashville,TN,37209,USA,www.smartsiteequipment.com,active,tactical,2,2022-08-10,2024-03-22,Equipment Rental,"Construction equipment rental, cranes, heavy machinery","SAIA Certified, IPAF Training Center, ARA Member",Net 30,"Large equipment rental provider with fleet of over 500 pieces. Utilizes telematics on all equipment for performance monitoring. Maintenance program includes preventative maintenance every 250 hours. 24/7 emergency support available."
ProConcrete Pumping,dispatch@proconcrete.com,Alex Thompson,+1-305-555-2345,65-2345678,"800 Concrete Way",Miami,FL,33127,USA,www.proconcretepumping.com,active,transactional,3,2023-06-20,2024-10-10,Concrete Services,"Concrete pumping, placing, finishing","ACI Certified, ACPA Member",Net 15,"Specialized concrete pumping contractor with fleet of 22 pump trucks including 42m and 56m booms. Advanced scheduling system with real-time GPS tracking of fleet. Experienced with high-rise concrete placement up to 65 stories."
BuildSmart Technologies,info@buildsmart.com,Alex Thompson,+1-206-555-3456,91-3456789,"525 Tech Way, Suite 200",Seattle,WA,98104,USA,www.buildsmarttech.com,active,tactical,2,2023-05-15,2024-08-18,Building Technology,"IoT monitoring, building sensors, energy management systems","Master Systems Integrator, Certified Energy Manager, Cisco Certified",Net 45,"Building IoT specialist focusing on intelligent building systems. Experience with over 50 large commercial building deployments. Subscription-based monitoring services with analytics dashboard. Cyber security certified."
Stone Source Quarries,orders@stonesource.com,Maria Garcia,+1-512-555-4567,74-4567890,"2500 Quarry Road",Austin,TX,78744,USA,www.stonesourcequarries.com,active,tactical,2,2022-10-05,2024-07-02,Building Materials,"Aggregates, crushed stone, decorative stone","NSSGA Member, ISO 14001",Net 30,"Owner of three quarries with complete range of construction aggregates. Material testing lab on premises. Can supply quantities for major infrastructure projects. Has rail loading facilities for large volume shipments. ASTM certified materials."
ArcTech Insulation,sales@arctechinsulation.com,James Peterson,+1-612-555-5678,41-5678901,"350 Thermal Way",Minneapolis,MN,55406,USA,www.arctechinsulation.com,active,transactional,3,2023-04-10,2024-09-05,Insulation,"Building insulation, fireproofing, acoustic treatments","NAIMA Member, Greenguard Certified, ABAA Certified",Net 30,"Commercial insulation contractor with expertise in envelope solutions. Thermal imaging verification of installations. Specializes in high-performance building envelopes. Experience with passive house and net zero energy projects."
Cornerstone Masonry,estimating@cornerstonemason.com,Richard Lee,+1-216-555-6789,34-6789012,"1200 Mason Street",Cleveland,OH,44113,USA,www.cornerstonemasonry.com,active,transactional,3,2022-12-15,2024-05-12,Masonry,"Brick, block, stone masonry, restoration","IMI Certified, Mason Contractors Association Member",Net 30,"Experienced masonry contractor with 45 years in business. Workforce of 85 skilled masons. Historic restoration experience. Maintains traditional craftsmanship while utilizing modern techniques and equipment. Material procurement capabilities from specialty sources."
Urban Landscape Design,projects@urbanlandscape.com,Michelle Torres,+1-773-555-7890,36-7890123,"850 Garden Avenue",Chicago,IL,60607,USA,www.urbanlandscapedesign.com,active,transactional,3,2023-03-18,2024-11-15,Landscaping,"Commercial landscaping, green roofs, bioswales","ASLA Member, LEED AP, Irrigation Association Certified",Net 30,"Design-build landscape contractor with expertise in urban environments. Specializes in sustainable landscape solutions including stormwater management features. Maintains 2-acre nursery. Offers 2-year warranty on installations and maintenance services."
MegaSite Excavation,operations@megasite.com,Robert Chen,+1-412-555-8901,25-8901234,"3500 Earth Movers Lane",Pittsburgh,PA,15222,USA,www.megasiteexcavation.com,active,tactical,2,2022-02-08,2024-04-28,Excavation,"Site preparation, mass excavation, demolition","OSHA HAZWOPER Certified, NUCA Member",Net 30,"Large earth-moving contractor with extensive equipment fleet. GPS-guided excavation technology. Experience with contaminated site remediation. Can handle projects requiring up to 500,000 cubic yards of earth movement. Strong safety program with full-time safety director."
Advanced MEP Systems,proposals@advancedmep.com,Sarah Johnson,+1-480-555-9012,86-9012345,"725 Mechanical Plaza, Suite 300",Phoenix,AZ,85008,USA,www.advancedmepsystems.com,active,strategic,1,2021-12-05,2024-10-08,MEP Engineering,"HVAC, plumbing, fire protection systems, design-build","ASHRAE, ASPE, MCAA Member",Net 45,"Full-service MEP contractor with design-build capabilities. BIM/VDC expertise with clash detection services. Prefabrication capabilities for all MEP systems. Experience with healthcare, data centers, and mission-critical facilities. Commissioning services available."
SecureSite Services,info@securesite.com,William Patel,+1-404-555-0123,58-0123456,"150 Security Boulevard",Atlanta,GA,30318,USA,www.securesiteservices.com,active,transactional,3,2023-07-22,2024-02-15,Site Services,"Construction site security, temporary fencing, surveillance","Security Contractor License, PSP Certification",Net 15,"Construction site security specialists. Offers manned guarding and/or technology solutions including CCTV with AI monitoring. Remote monitoring services available 24/7. Fast-deployment systems for project startups. Integrated access control options."
